BaitUnit,Protein,gamma1,gamma2,gamma3,lambda1,lambda2,lambda3,pi1,pi2,pi3,rep1,rep2,tau
Treat_TMEMV5,SNAPC3,0.9963104577414451,1.7335516714882448e-11,0.0036895422402230494,5.789256068853768,7.2365700861392535,8.683884103366932,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,1.0,0.0,0.03162277660168379
Treat_TMEMmyc,SNAPC4,0.01276672541180415,3.919492018025142e-11,0.9872332745480135,6.335755677369592,7.9196945967109125,9.503633516079395,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,15.0,12.0,0.03162277660168379
Treat_TMEMV5,SNAPC4,0.034835019550115684,8.214449177729426e-11,0.9651649803667747,5.78925606891351,7.2365700861392535,8.683884103386946,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,15.0,8.0,0.03162277660168379
Treat_TMEMV5,SNAPIN,0.9595254658927823,6.368815761536564e-11,0.040474534042569815,5.789256068887341,7.2365700861392535,8.68388410336562,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,4.0,3.0,0.03162277660168379
Treat_TMEMmyc,SNAPIN,0.9772735689410703,3.459124232041723e-11,0.022726431023361054,6.335755677341014,7.9196945967109125,9.503633516052231,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,4.0,3.0,0.03162277660168379
Treat_TMEMmyc,SND1,3.947145591787051e-09,4.667710299505346e-14,0.9999999960518076,6.335755677368679,7.9196945967109125,9.50363351620285,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,39.0,25.0,0.03162277660168379
Treat_TMEMV5,SND1,8.365543781797834e-08,2.4898717694484714e-13,0.9999999163433132,5.789256068911337,7.2365700861392535,8.683884103504191,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,28.0,27.0,0.03162277660168379
Treat_TMEMV5,SNF8,0.6754578241426972,1.7102535280816258e-10,0.324542175685602,5.789256068916582,7.2365700861392535,8.68388410336199,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,8.0,5.0,0.03162277660168379
Treat_TMEMmyc,SNF8,0.9502780336897603,5.255580867448235e-11,0.04972196625673359,6.3357556773512655,7.9196945967109125,9.503633516051483,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,6.0,3.0,0.03162277660168379
Treat_TMEMV5,SNIP1,0.9963104577414451,1.7335516714882448e-11,0.0036895422402230494,5.789256068853768,7.2365700861392535,8.683884103366932,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,1.0,0.0,0.03162277660168379
